iter	Passed	Remaining
582	14086	10075
583	14110	10051
584	14135	10027
585	14162	10005
586	14185	9980
587	14207	9954
588	14229	9929
589	14252	9904
590	14353	9933
591	14401	9925
592	14423	9899
593	14446	9874
594	14469	9848
595	14491	9823
596	14515	9798
597	14538	9773
598	14578	9759
599	14607	9738
600	14630	9713
601	14654	9688
602	14676	9662
603	14705	9641
604	14728	9616
605	14755	9593
606	14782	9571
607	14807	9547
608	14833	9523
609	14859	9500
610	14883	9475
611	14907	9451
612	14930	9426
613	14953	9400
614	14977	9376
615	15002	9351
616	15025	9327
617	15050	9302
618	15073	9277
619	15096	9252
620	15121	9228
621	15145	9204
622	15168	9179
623	15191	9153
624	15216	9129
625	15238	9103
626	15261	9078
627	15286	9054
628	15309	9029
629	15330	9003
630	15357	8980
631	15379	8955
632	15404	8931
633	15426	8905
634	15449	8880
635	15473	8855
636	15497	8831
637	15520	8806
638	15543	8781
639	15565	8755
640	15588	8730
641	15611	8705
642	15636	8681
643	15659	8656
644	15690	8635
645	15713	8610
646	15734	8584
647	15759	8560
648	15783	8536
649	15807	8511
650	15829	8486
651	15853	8461
652	15877	8437
653	15902	8413
654	15927	8389
655	15952	8365
656	15978	8342
657	16005	8319
658	16031	8295
659	16053	8269
660	16076	8244
661	16098	8219
662	16121	8194
663	16144	8169
664	16166	8143
665	16191	8119
666	16213	8094
667	16236	8069
668	16260	8045
669	16283	8020
670	16306	7995
671	16330	7970
672	16352	7945
673	16373	7919
674	16395	7894
675	16417	7868
676	16440	7844
677	16463	7818
678	16487	7794
679	16511	7770
680	16535	7745
681	16559	7721
682	16581	7695
683	16602	7670
684	16623	7644
685	16646	7619
686	16668	7594
687	16706	7576
688	16732	7552
689	16756	7528
690	16779	7503
691	16803	7478
692	16826	7454
693	16848	7429
694	16873	7405
695	16899	7381
696	16920	7355
697	16942	7330
698	16965	7305
699	16989	7281
700	17012	7256
701	17036	7231
702	17060	7207
703	17085	7183
704	17110	7159
705	17135	7135
706	17160	7111
707	17185	7087
708	17209	7063
709	17232	7038
710	17257	7014
711	17281	6990
712	17302	6964
713	17323	6939
714	17346	6914
715	17371	6890
716	17394	6865
717	17417	6840
718	17440	6816
719	17463	6791
720	17486	6766
721	17509	6742
722	17533	6717
723	17556	6692
724	17580	6668
725	17602	6643
726	17624	6618
727	17646	6593
728	17668	6567
729	17689	6542
730	17713	6518
731	17737	6494
732	17762	6470
